KB672413	AALBS	CDS	5	6664	.	-	0	AALB000001-RA	AALB000001-PA	AALB000001	AALBS:000001
KB672413	AALBS	CDS	694593	694920	.	-	1	AALB000045-RA	AALB000045-PA	AALB000045	AALBS:000045
KB672413	AALBS	CDS	694374	694516	.	-	0	AALB000045-RA	AALB000045-PA	AALB000045	AALBS:000045
KB672413	AALBS	CDS	693961	694297	.	-	1	AALB000045-RA	AALB000045-PA	AALB000045	AALBS:000045
KB672413	AALBS	CDS	699061	699109	.	+	0	AALB000046-RA	AALB000046-PA	AALB000046	AALBS:000046
KB672413	AALBS	CDS	699199	699401	.	+	2	AALB000046-RA	AALB000046-PA	AALB000046	AALBS:000046
KB672413	AALBS	CDS	700226	700582	.	+	0	AALB000046-RA	AALB000046-PA	AALB000046	AALBS:000046
KB672413	AALBS	CDS	728032	728199	.	+	0	AALB000049-RA	AALB000049-PA	AALB000049	AALBS:000049
KB672413	AALBS	CDS	728298	729267	.	+	0	AALB000049-RA	AALB000049-PA	AALB000049	AALBS:000049
KB672413	AALBS	CDS	729365	729496	.	+	2	AALB000049-RA	AALB000049-PA	AALB000049	AALBS:000049
KB672413	AALBS	CDS	729921	730030	.	+	2	AALB000049-RA	AALB000049-PA	AALB000049	AALBS:000049
KB672413	AALBS	CDS	734173	734202	.	+	0	AALB000050-RA	AALB000050-PA	AALB000050	AALBS:000050
KB672413	AALBS	CDS	734261	735195	.	+	0	AALB000050-RA	AALB000050-PA	AALB000050	AALBS:000050
KB672413	AALBS	CDS	735277	736735	.	+	1	AALB000050-RA	AALB000050-PA	AALB000050	AALBS:000050
KB672413	AALBS	CDS	736800	737131	.	+	0	AALB000050-RA	AALB000050-PA	AALB000050	AALBS:000050
KB672413	AALBS	CDS	737220	738045	.	+	1	AALB000050-RA	AALB000050-PA	AALB000050	AALBS:000050
KB672413	AALBS	CDS	738124	738707	.	+	0	AALB000050-RA	AALB000050-PA	AALB000050	AALBS:000050
KB672413	AALBS	CDS	738964	739057	.	+	1	AALB000050-RA	AALB000050-PA	AALB000050	AALBS:000050
KB672413	AALBS	CDS	949010	951904	.	-	0	AALB000056-RA	AALB000056-PA	AALB000056	AALBS:000056
KB672413	AALBS	CDS	948512	948937	.	-	0	AALB000056-RA	AALB000056-PA	AALB000056	AALBS:000056
KB672413	AALBS	CDS	947667	948433	.	-	0	AALB000056-RA	AALB000056-PA	AALB000056	AALBS:000056
KB672413	AALBS	CDS	947162	947581	.	-	1	AALB000056-RA	AALB000056-PA	AALB000056	AALBS:000056
KB672413	AALBS	CDS	946598	947095	.	-	1	AALB000056-RA	AALB000056-PA	AALB000056	AALBS:000056
KB672413	AALBS	CDS	946444	946526	.	-	1	AALB000056-RA	AALB000056-PA	AALB000056	AALBS:000056
KB672413	AALBS	CDS	946128	946369	.	-	2	AALB000056-RA	AALB000056-PA	AALB000056	AALBS:000056
KB672413	AALBS	CDS	961972	961998	.	+	0	AALB000057-RA	AALB000057-PA	AALB000057	AALBS:000057
KB672413	AALBS	CDS	962135	963108	.	+	0	AALB000057-RA	AALB000057-PA	AALB000057	AALBS:000057
KB672413	AALBS	CDS	963194	963510	.	+	1	AALB000057-RA	AALB000057-PA	AALB000057	AALBS:000057
KB672413	AALBS	CDS	963591	963981	.	+	2	AALB000057-RA	AALB000057-PA	AALB000057	AALBS:000057
KB672413	AALBS	CDS	964056	964221	.	+	1	AALB000057-RA	AALB000057-PA	AALB000057	AALBS:000057
KB672413	AALBS	CDS	964290	964473	.	+	0	AALB000057-RA	AALB000057-PA	AALB000057	AALBS:000057
KB672413	AALBS	CDS	964580	964908	.	+	2	AALB000057-RA	AALB000057-PA	AALB000057	AALBS:000057
KB672413	AALBS	CDS	975806	977913	.	-	0	AALB000060-RA	AALB000060-PA	AALB000060	AALBS:000060
KB672413	AALBS	CDS	975170	975455	.	-	1	AALB000060-RA	AALB000060-PA	AALB000060	AALBS:000060
KB672413	AALBS	CDS	974778	974918	.	-	0	AALB000060-RA	AALB000060-PA	AALB000060	AALBS:000060
KB672413	AALBS	CDS	974478	974700	.	-	0	AALB000060-RA	AALB000060-PA	AALB000060	AALBS:000060
KB672413	AALBS	CDS	969501	971533	.	-	2	AALB000060-RA	AALB000060-PA	AALB000060	AALBS:000060
KB672413	AALBS	CDS	1020733	1021316	.	+	0	AALB000061-RA	AALB000061-PA	AALB000061	AALBS:000061
KB672413	AALBS	CDS	1021407	1021515	.	+	1	AALB000061-RA	AALB000061-PA	AALB000061	AALBS:000061
KB672413	AALBS	CDS	1022941	1023314	.	+	0	AALB000061-RA	AALB000061-PA	AALB000061	AALBS:000061
KB672413	AALBS	CDS	1023405	1023483	.	+	1	AALB000061-RA	AALB000061-PA	AALB000061	AALBS:000061
KB672413	AALBS	CDS	1023566	1023617	.	+	0	AALB000061-RA	AALB000061-PA	AALB000061	AALBS:000061
KB672413	AALBS	CDS	1023714	1023797	.	+	2	AALB000061-RA	AALB000061-PA	AALB000061	AALBS:000061
KB672413	AALBS	CDS	1023918	1024012	.	+	2	AALB000061-RA	AALB000061-PA	AALB000061	AALBS:000061
KB672413	AALBS	CDS	1031896	1032171	.	+	0	AALB000062-RA	AALB000062-PA	AALB000062	AALBS:000062
KB672413	AALBS	CDS	1032235	1033915	.	+	0	AALB000062-RA	AALB000062-PA	AALB000062	AALBS:000062
KB672413	AALBS	CDS	1033987	1034174	.	+	2	AALB000062-RA	AALB000062-PA	AALB000062	AALBS:000062
KB672413	AALBS	CDS	1034246	1034356	.	+	0	AALB000062-RA	AALB000062-PA	AALB000062	AALBS:000062
KB672413	AALBS	CDS	1036516	1036540	.	-	0	AALB000063-RA	AALB000063-PA	AALB000063	AALBS:000063
KB672413	AALBS	CDS	1035252	1036447	.	-	2	AALB000063-RA	AALB000063-PA	AALB000063	AALBS:000063
KB672413	AALBS	CDS	1036948	1037008	.	+	0	AALB000064-RA	AALB000064-PA	AALB000064	AALBS:000064
KB672413	AALBS	CDS	1037100	1037225	.	+	2	AALB000064-RA	AALB000064-PA	AALB000064	AALBS:000064
KB672413	AALBS	CDS	1037288	1038004	.	+	2	AALB000064-RA	AALB000064-PA	AALB000064	AALBS:000064
KB672413	AALBS	CDS	1038069	1038370	.	+	2	AALB000064-RA	AALB000064-PA	AALB000064	AALBS:000064
KB672413	AALBS	CDS	1038444	1039097	.	+	0	AALB000064-RA	AALB000064-PA	AALB000064	AALBS:000064
KB672413	AALBS	CDS	1039939	1039984	.	-	0	AALB000065-RA	AALB000065-PA	AALB000065	AALBS:000065
KB672413	AALBS	CDS	1039695	1039872	.	-	2	AALB000065-RA	AALB000065-PA	AALB000065	AALBS:000065
KB672413	AALBS	CDS	1039263	1039611	.	-	1	AALB000065-RA	AALB000065-PA	AALB000065	AALBS:000065
KB672413	AALBS	CDS	1040507	1040563	.	+	0	AALB000066-RA	AALB000066-PA	AALB000066	AALBS:000066
KB672413	AALBS	CDS	1040842	1041162	.	+	0	AALB000066-RA	AALB000066-PA	AALB000066	AALBS:000066
KB672413	AALBS	CDS	1041226	1042040	.	+	0	AALB000066-RA	AALB000066-PA	AALB000066	AALBS:000066
KB672413	AALBS	CDS	1042115	1042259	.	+	1	AALB000066-RA	AALB000066-PA	AALB000066	AALBS:000066
KB672413	AALBS	CDS	1059016	1059099	.	+	0	AALB000067-RA	AALB000067-PA	AALB000067	AALBS:000067
KB672413	AALBS	CDS	1059182	1060033	.	+	0	AALB000067-RA	AALB000067-PA	AALB000067	AALBS:000067
KB672413	AALBS	CDS	1060103	1060372	.	+	0	AALB000067-RA	AALB000067-PA	AALB000067	AALBS:000067
KB672413	AALBS	CDS	1060453	1060573	.	+	0	AALB000067-RA	AALB000067-PA	AALB000067	AALBS:000067
KB672413	AALBS	CDS	1060658	1060728	.	+	2	AALB000067-RA	AALB000067-PA	AALB000067	AALBS:000067
KB672413	AALBS	CDS	1071384	1072331	.	-	0	AALB000068-RA	AALB000068-PA	AALB000068	AALBS:000068
KB672413	AALBS	CDS	1070400	1070957	.	-	0	AALB000068-RA	AALB000068-PA	AALB000068	AALBS:000068
KB672413	AALBS	CDS	1069903	1070304	.	-	0	AALB000068-RA	AALB000068-PA	AALB000068	AALBS:000068
KB672413	AALBS	CDS	1180120	1181691	.	+	0	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1181943	1182167	.	+	0	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1182239	1182591	.	+	0	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1182674	1182954	.	+	1	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1183050	1183219	.	+	2	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1183321	1183423	.	+	0	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1183493	1183756	.	+	2	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1183850	1184301	.	+	2	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1184374	1184537	.	+	0	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1184606	1184791	.	+	1	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1184858	1185020	.	+	1	AALB000074-RA	AALB000074-PA	AALB000074	AALBS:000074
KB672413	AALBS	CDS	1199460	1199511	.	-	0	AALB000077-RA	AALB000077-PA	AALB000077	AALBS:000077
KB672413	AALBS	CDS	1199142	1199300	.	-	2	AALB000077-RA	AALB000077-PA	AALB000077	AALBS:000077
KB672413	AALBS	CDS	1198879	1199007	.	-	2	AALB000077-RA	AALB000077-PA	AALB000077	AALBS:000077
KB672413	AALBS	CDS	1198497	1198793	.	-	2	AALB000077-RA	AALB000077-PA	AALB000077	AALBS:000077
KB672413	AALBS	CDS	1198177	1198406	.	-	2	AALB000077-RA	AALB000077-PA	AALB000077	AALBS:000077
KB672413	AALBS	CDS	1272607	1272814	.	-	0	AALB000078-RA	AALB000078-PA	AALB000078	AALBS:000078
KB672413	AALBS	CDS	1270282	1270437	.	-	2	AALB000078-RA	AALB000078-PA	AALB000078	AALBS:000078
KB672413	AALBS	CDS	1270074	1270202	.	-	2	AALB000078-RA	AALB000078-PA	AALB000078	AALBS:000078
KB672413	AALBS	CDS	1269767	1269960	.	-	2	AALB000078-RA	AALB000078-PA	AALB000078	AALBS:000078
KB672413	AALBS	CDS	1354812	1355383	.	+	0	AALB000079-RA	AALB000079-PA	AALB000079	AALBS:000079
KB672413	AALBS	CDS	1355539	1355593	.	+	1	AALB000079-RA	AALB000079-PA	AALB000079	AALBS:000079
KB672413	AALBS	CDS	1374965	1375219	.	+	0	AALB000080-RA	AALB000080-PA	AALB000080	AALBS:000080
KB672413	AALBS	CDS	1375329	1375409	.	+	0	AALB000080-RA	AALB000080-PA	AALB000080	AALBS:000080
KB672413	AALBS	CDS	1375493	1375676	.	+	0	AALB000080-RA	AALB000080-PA	AALB000080	AALBS:000080
KB672413	AALBS	CDS	1375765	1375880	.	+	2	AALB000080-RA	AALB000080-PA	AALB000080	AALBS:000080
KB672413	AALBS	CDS	1375995	1376243	.	+	0	AALB000080-RA	AALB000080-PA	AALB000080	AALBS:000080
KB672413	AALBS	CDS	1380146	1380203	.	-	0	AALB000081-RA	AALB000081-PA	AALB000081	AALBS:000081
KB672413	AALBS	CDS	1379780	1380057	.	-	2	AALB000081-RA	AALB000081-PA	AALB000081	AALBS:000081
KB672413	AALBS	CDS	1378519	1378681	.	-	0	AALB000081-RA	AALB000081-PA	AALB000081	AALBS:000081
KB672413	AALBS	CDS	1378062	1378372	.	-	2	AALB000081-RA	AALB000081-PA	AALB000081	AALBS:000081
KB672413	AALBS	CDS	1384742	1385404	.	+	0	AALB000082-RA	AALB000082-PA	AALB000082	AALBS:000082
KB672413	AALBS	CDS	1419282	1420355	.	-	0	AALB000083-RA	AALB000083-PA	AALB000083	AALBS:000083
KB672413	AALBS	CDS	1456046	1456193	.	-	0	AALB000084-RA	AALB000084-PA	AALB000084	AALBS:000084
KB672413	AALBS	CDS	1455758	1455808	.	-	2	AALB000084-RA	AALB000084-PA	AALB000084	AALBS:000084
KB672413	AALBS	CDS	1455235	1455474	.	-	2	AALB000084-RA	AALB000084-PA	AALB000084	AALBS:000084
KB672413	AALBS	CDS	1455082	1455164	.	-	2	AALB000084-RA	AALB000084-PA	AALB000084	AALBS:000084
KB672413	AALBS	CDS	1454760	1455007	.	-	0	AALB000084-RA	AALB000084-PA	AALB000084	AALBS:000084
KB672413	AALBS	CDS	1454596	1454686	.	-	1	AALB000084-RA	AALB000084-PA	AALB000084	AALBS:000084
KB672413	AALBS	CDS	1458855	1458864	.	-	0	AALB000085-RA	AALB000085-PA	AALB000085	AALBS:000085
KB672413	AALBS	CDS	1457613	1458706	.	-	2	AALB000085-RA	AALB000085-PA	AALB000085	AALBS:000085
KB672413	AALBS	CDS	1474542	1474569	.	-	0	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1474259	1474452	.	-	2	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1473880	1474171	.	-	0	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1470344	1470927	.	-	2	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1468207	1468356	.	-	0	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1467955	1468112	.	-	0	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1467638	1467872	.	-	1	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1466824	1467346	.	-	0	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1466519	1466760	.	-	2	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
KB672413	AALBS	CDS	1466175	1466422	.	-	0	AALB000086-RA	AALB000086-PA	AALB000086	AALBS:000086
